名称,城市,类型,级别,热度,地址
西湖,浙江·杭州·西湖区,文化古迹,5A景区,热度 1.0,浙江省杭州市西湖区龙井路1号
敦煌莫高窟,甘肃·酒泉·敦煌市,文化古迹,,热度 0.9,甘肃省酒泉市敦煌市东南25公里
黄帝陵,陕西·延安·黄陵县,文化古迹,5A景区,热度 1.0,陕西省延安市黄陵县城北的桥山颠
桂林两江四湖景区,广西·桂林·秀峰区,文化古迹,5A景区,热度 0.7,广西壮族自治区桂林市秀峰区滨江路12号
沈阳故宫,辽宁·沈阳·沈河区,文化古迹,4A景区,热度 0.7,辽宁省沈阳市沈河区沈阳路171号
武隆天坑地缝国家地质公园,重庆·重庆·武隆县,文化古迹,5A景区,热度 0.0,重庆市武隆县银杏大道武隆喀斯特旅游区
布达拉宫,西藏·拉萨·城关区,文化古迹,5A景区,热度 1.0,西藏自治区拉萨市城关区北京中路35号
庐山风景名胜区,江西·九江·庐山市,文化古迹,5A景区,热度 1.0,江西省九江市庐山区
黄龙风景区,四川·阿坝藏族羌族自治州·松潘县,文化古迹,5A景区,热度 0.74,四川省阿坝藏族羌族自治州松潘县
开封府,河南·开封·鼓楼区,文化古迹,4A景区,热度 0.96,河南省开封市包公东湖北岸
象山景区,广西·桂林·象山区,文化古迹,5A景区,热度 0.7,广西壮族自治区桂林市民主路52号
龙门石窟,河南·洛阳·洛龙区,文化古迹,5A景区,热度 1.0,河南省洛阳市洛龙区龙门中街13号
夫子庙,江苏·南京·秦淮区,文化古迹,5A景区,热度 0.8800000000000001,江苏省南京市秦淮区龙蟠中路夫子庙
茅山东方盐湖城·道天下,江苏·常州·金坛区,文化古迹,,热度 0.0,江苏省常州市金坛区薛埠镇访仙路9号
刘公岛,山东·威海·环翠区,文化古迹,5A景区,热度 1.0,山东省威海市海滨北路101-2号
西安城墙,陕西·西安·碑林区,文化古迹,5A景区,热度 0.82,陕西省西安市碑林区永宁门
灵隐寺,浙江·杭州,文化古迹,5A景区,热度 0.0,浙江省杭州市法云弄1号
王家大院,山西·晋中·灵石县,文化古迹,4A景区,热度 0.82,山西省晋中市灵石县静升镇静升村
成都武侯祠,四川·成都·武侯区,文化古迹,4A景区,热度 0.9,四川省成都市武侯区武侯祠大街231号
滕王阁,江西·南昌·东湖区,文化古迹,5A景区,热度 1.0,江西省南昌市东湖区仿古街58号
慕田峪长城,北京·北京·怀柔区,文化古迹,5A景区,热度 0.7,北京市怀柔区慕田峪村
韶关丹霞山,广东·韶关·浈江区,文化古迹,5A景区,热度 1.0,广东省韶关市浈江区丹霞山风景名胜区
寒山寺,江苏·苏州·金阊区,文化古迹,4A景区,热度 0.8800000000000001,江苏省苏州市金阊区寒山寺弄24号
西递,安徽·黄山·黟县,文化古迹,5A景区,热度 0.7,安徽省黄山市黟县西递镇西递村
嘉峪关关城,甘肃·嘉峪关·嘉峪关市,文化古迹,5A景区,热度 0.8400000000000001,甘肃省嘉峪关市明万里长城最西端
乔家大院,山西·晋中·祁县,文化古迹,,热度 0.9400000000000001,山西省晋中市祁县乔家堡村
古堰画乡景区,浙江·丽水·莲都区,文化古迹,4A景区,热度 0.72,浙江省丽水市莲都区大港头镇
龙亭公园,河南·开封·龙亭区,文化古迹,4A景区,热度 0.86,河南省开封市龙亭区宋都御街北街
峨眉山,四川·乐山·峨眉山市,文化古迹,5A景区,热度 1.0,四川省乐山峨眉山市峨眉山风景名胜区
大报恩寺遗址公园,江苏·南京·秦淮区,文化古迹,,热度 0.0,江苏省南京市秦淮区雨花路正学路1号
避暑山庄,河北·承德·双桥区,文化古迹,5A景区,热度 1.0,河北省承德市双桥区丽正门大街20号
芦笛岩,广西·桂林·秀峰区,文化古迹,4A景区,热度 0.76,广西壮族自治区桂林市秀峰区芦笛路1号
大慈恩寺（大雁塔）,陕西·西安·曲江旅游度假区,文化古迹,5A景区,热度 0.72,陕西省西安市雁塔区大雁塔南广场北侧
景洪曼听公园,云南·西双版纳·景洪市,文化古迹,4A景区,热度 0.86,云南省西双版纳傣族自治州景洪市曼听路35号
瓦屋山,四川·眉山·洪雅县,文化古迹,3A景区,热度 1.0,四川省眉山市洪雅县瓦屋山镇
法门寺,陕西·宝鸡·扶风县,文化古迹,5A景区,热度 1.0,陕西省宝鸡市扶风县城北10公里法门镇
雁门关,山西·忻州·代县,文化古迹,5A景区,热度 0.72,山西省忻州代县雁门关景区（二广高速新广武出口8公里）
回民街,陕西·西安·莲湖区,文化古迹,,热度 0.9199999999999999,陕西西安市中心
皇城相府,山西·晋城·阳城县,文化古迹,5A景区,热度 1.0,山西省晋城市阳城县北留镇皇城村
美龄宫,江苏·南京·钟山风景区,文化古迹,,热度 0.0,江苏省南京市玄武区钟山中山陵景区内
平遥古城,山西·晋中·平遥县,文化古迹,5A景区,热度 1.0,山西省晋中市平遥县
香山公园,北京·北京·海淀区,文化古迹,4A景区,热度 0.72,北京市海淀区买卖街40号
三星堆博物馆,四川·德阳·广汉市,文化古迹,4A景区,热度 1.0,四川省德阳广汉市西安路133号
明孝陵,江苏·南京·钟山风景区,文化古迹,5A景区,热度 0.86,江苏省南京市玄武区紫金山南麓独龙阜玩珠峰下
云水谣古镇,福建·漳州·南靖土楼,文化古迹,,热度 0.0,福建漳州南靖县云水谣古镇
广富林文化遗址,上海·上海·松江区,文化古迹,,热度 0.0,上海市松江区广富林路3260弄
镇江金山,江苏·镇江·润州区,文化古迹,5A景区,热度 0.0,江苏省镇江市润州区金山路62号
大足石刻,重庆·重庆·大足县,文化古迹,5A景区,热度 0.78,重庆市大足县龙岗镇北山路7号
泸定桥,四川·甘孜州·泸定县,文化古迹,,热度 0.78,四川-甘孜州泸定县城大渡河上
千年瑶寨,广东·清远·连南瑶族,文化古迹,,热度 0.0,广东省清远市连南瑶族自治县三排镇南岗村
沙家浜,江苏·苏州·常熟市,文化古迹,5A景区,热度 0.72,江苏省苏州市常熟市阳澄湖畔
芙蓉镇,湖南·湘西·永顺县,文化古迹,,热度 0.7,湘西土家族苗族自治州永顺县
武夷山,福建·南平·武夷山市,文化古迹,5A景区,热度 1.0,福建省南平市武夷山国家旅游度假区
崇圣寺三塔,云南·大理·大理古城,文化古迹,5A景区,热度 0.86,云南省大理市大理古城西北两公里的苍山应乐峰下
竹泉村,山东·临沂·沂南县,文化古迹,4A景区,热度 0.0,山东省临沂市沂南县铜井镇竹泉村
同里古镇,江苏·苏州·吴江区,文化古迹,5A景区,热度 0.8,江苏省苏州市吴江市同里镇
隋唐洛阳城明堂天堂景区,河南·洛阳·老城区,文化古迹,,热度 0.0,河南省洛阳市老城区中州中路与定鼎路交叉口处
西塘古镇,浙江·嘉兴·嘉善县,文化古迹,5A景区,热度 0.8400000000000001,浙江省嘉兴市嘉善县西塘镇
婺源篁岭,江西·上饶·婺源县,文化古迹,4A景区,热度 0.0,江西省上饶市婺源县江湾镇篁岭村
盐官观潮景区,浙江·嘉兴·海宁市,文化古迹,4A景区,热度 0.0,浙江省嘉兴海宁市盐官镇春熙路131号
东莞观音山旅游风景区,广东·东莞·东莞市,文化古迹,4A景区,热度 0.76,广东省东莞市樟木头镇石新区笔架山大道1号
阆中古城,四川·南充·阆中市,文化古迹,5A景区,热度 1.0,四川省阆中市阆水中路33号
乐山大佛,四川·乐山·市中区,文化古迹,5A景区,热度 0.82,四川省乐山市市中区凌云路2435号簏子街
韶关云门山,广东·韶关·乳源县,文化古迹,4A景区,热度 0.0,广东省韶关市乳源县乳城镇
黄姚古镇,广西·贺州·昭平县,文化古迹,4A景区,热度 1.0,广西壮族自治区贺州市昭平县
大明宫国家遗址公园,陕西·西安·新城区,文化古迹,4A景区,热度 0.72,陕西省西安市新城区自强东路585号大明宫国家遗址公园丹凤门
槟榔谷黎苗文化区,海南·保亭,文化古迹,5A景区,热度 0.72,海南省三亚市保亭黎苗族自治县甘什岭自然保护区
黄山风景区,安徽·黄山·黄山区,文化古迹,5A景区,热度 1.0,安徽省黄山市黄山区黄山风景区
司马台长城,北京·北京·密云县,文化古迹,4A景区,热度 0.76,北京市密云县东北部的古北口镇境内
大相国寺,河南·开封·龙亭区,文化古迹,4A景区,热度 0.9199999999999999,河南省开封市龙亭区自由西段36号
五台山,山西·忻州·五台县,文化古迹,5A景区,热度 1.0,山西省忻州市五台县台怀镇
独秀峰王城景区,广西·桂林·秀峰区,文化古迹,5A景区,热度 0.72,广西壮族自治区桂林市秀峰区王城路1号
婺源风景区,江西·上饶·婺源县,文化古迹,5A景区,热度 1.0,江西省上饶市婺源县文公北路
七里山塘,江苏·苏州·金阊区,文化古迹,4A景区,热度 0.74,江苏省苏州市金阊区广济路218号
龙虎山,江西·鹰潭,文化古迹,5A景区,热度 0.7,江西省鹰潭市西南20公里处贵溪市境内
丽江古城,云南·丽江·古城区,文化古迹,5A景区,热度 1.0,云南省丽江市玉龙纳西族自治县东大街1号
水洞沟旅游区,宁夏·银川·灵武市,文化古迹,5A景区,热度 0.82,"宁夏银川市灵武市临河镇水洞沟旅游景区（西距银川市19公里,距机场11公里）"
岭南印象园,广东·广州·番禺区,文化古迹,4A景区,热度 0.74,广东省广州市番禺区外环西路
大昭寺,西藏·拉萨·城关区,文化古迹,5A景区,热度 0.9199999999999999,西藏拉萨市城关区中心八角街
下司古镇,贵州·黔东南·麻江县,文化古迹,,热度 0.7,贵州省黔东南苗族侗族自治州麻江县下司镇内
溪口风景区,浙江·宁波·奉化市,文化古迹,5A景区,热度 0.9,浙江省宁波市奉化市溪口镇
大小洞天,海南·三亚·崖州区,文化古迹,5A景区,热度 0.78,海南省三亚市以西四十公里（崖城镇南山村）
雍和宫,北京·北京·东城区,文化古迹,,热度 0.76,北京市雍和宫大街12号
殷墟,河南·安阳·安阳县,文化古迹,5A景区,热度 0.9400000000000001,河南省安阳市西北郊小屯村
洪洞大槐树,山西·临汾·洪洞县,文化古迹,5A景区,热度 1.0,山西省临汾市洪洞县古槐北路公园街002号
黄花城水长城,北京·北京·怀柔区,文化古迹,4A景区,热度 0.7,北京市怀柔区九渡河镇西水峪
中山陵,江苏·南京·钟山风景区,文化古迹,5A景区,热度 1.0,江苏省南京市玄武区石象路7号
定陵,北京·北京·明十三陵,文化古迹,,热度 0.72,北京市昌平区十三陵特区明十三陵
白帝城,重庆·重庆·奉节县,文化古迹,4A景区,热度 0.78,重庆市近郊奉节县瞿塘峡口长江北岸
海南永庆寺文化旅游区,海南·澄迈,文化古迹,,热度 0.0,海南省澄迈县老城经济开发区盈滨半岛永庆寺
凤凰古城,湖南·湘西·凤凰县,文化古迹,4A景区,热度 1.0,湖南省湘西土家族苗族自治州凤凰县凤凰古城
西夏陵,宁夏·银川·西夏区,文化古迹,4A景区,热度 0.9800000000000001,宁夏回族自治区银川市西夏区贺兰山东麓
石岛赤山,山东·威海·荣成市,文化古迹,4A景区,热度 0.8,山东省威海荣成市石岛区法华路
良渚古城遗址公园,浙江·杭州·余杭区,文化古迹,4A景区,热度 0.0,浙江省杭州市余杭区凤都路与104国道交叉口西北200米良渚古城遗址公园
鸠兹古镇,安徽·芜湖·鸠江区,文化古迹,4A景区,热度 0.0,安徽省芜湖市鸠江区纬二路
昭化古城,四川·广元·元坝区,文化古迹,4A景区,热度 0.8800000000000001,四川省广元市元坝区昭化古城
印象西湖,浙江·杭州·西湖,文化古迹,,热度 0.0,浙江省杭州市西湖区北山路82号岳庙对面
炭河古城,湖南·长沙·宁乡县,文化古迹,,热度 0.7,湖南省长沙市宁乡县炭河古城
田螺坑土楼群,福建·漳州·南靖土楼,文化古迹,,热度 0.9800000000000001,福建省漳州市南靖县书洋镇
九华山,安徽·池州·青阳县,文化古迹,5A景区,热度 1.0,安徽省池州市九华山镇二一九省道
青龙古镇,山西·太原·阳曲县,文化古迹,,热度 0.7,太原市阳曲县紧邻尖草坪区
黄鹤楼,湖北·武汉·武昌区,文化古迹,5A景区,热度 1.0,武汉市武昌区蛇山西山坡特1号
程阳八寨景区,广西·柳州·三江县,文化古迹,4A景区,热度 0.7,广西省柳州市三江侗族自治县林溪乡程阳八寨
重元寺,江苏·苏州·工业园区,文化古迹,4A景区,热度 0.0,江苏省苏州市工业园区唯亭镇阳澄半岛
特呈渔岛度假村,广东·湛江·霞山区,文化古迹,,热度 0.0,湛江霞山区东堤路15号
三孔,山东·济宁·曲阜,文化古迹,5A景区,热度 0.86,山东省曲阜市明故城
岳阳楼,湖南·岳阳·岳阳楼区,文化古迹,5A景区,热度 1.0,湖南省岳阳市岳阳楼区洞庭北路60号
宝顶山景区,重庆·重庆·大足石刻,文化古迹,,热度 0.72,重庆市大足县宝顶镇大足石刻景区
昆明西山龙门景区,云南·昆明·西山区,文化古迹,4A景区,热度 0.74,云南省昆明市西山区西山公路
安义古村,江西·南昌·安义县,文化古迹,4A景区,热度 0.7,江西省南昌市安义县石彼镇罗田村
同里珍珠塔,江苏·苏州·同里古镇,文化古迹,,热度 0.7,江苏省苏州市同里镇
乌镇东栅,浙江·嘉兴·乌镇,文化古迹,,热度 0.0,浙江省嘉兴桐乡市乌镇子夜路18号
乾陵,陕西·咸阳·乾县,文化古迹,4A景区,热度 1.0,陕西省咸阳市乾县城北6公里梁山上
瑶里,江西·景德镇·浮梁县,文化古迹,4A景区,热度 0.9800000000000001,江西省景德镇市浮梁县087县道瑶里风景区
台州府城（江南长城）,浙江·台州·临海市,文化古迹,4A景区,热度 0.74,浙江省台州市临海市北山路江南长城景区
鼎湖山,广东·肇庆·星湖旅游景区,文化古迹,4A景区,热度 0.86,广东省肇庆市鼎湖区上山路坑口镇
蜈支洲岛,海南·三亚·海棠区,自然风光,5A景区,热度 0.86,海南省三亚市林旺镇海棠湾蜈支洲岛
南山文化旅游区,海南·三亚·崖州区,自然风光,5A景区,热度 0.76,海南省三亚市崖城镇南山村
九寨沟,四川·阿坝藏族羌族自治州·九寨沟县,自然风光,5A景区,热度 1.0,四川省阿坝藏族羌族自治州九寨沟县漳扎镇九寨沟
张掖七彩丹霞旅游景区,甘肃·张掖·临泽县,自然风光,4A景区,热度 0.0,甘肃省张掖市临泽县倪家营南台子村
天门山国家森林公园,湖南·张家界·永定区,自然风光,5A景区,热度 0.82,湖南省张家界市永定区天门山索道站
张家界国家森林公园,湖南·张家界·武陵源区,自然风光,5A景区,热度 0.9400000000000001,湖南省张家界市武陵源区
华山景区,陕西·渭南·华阴市,自然风光,5A景区,热度 1.0,陕西省渭南市华阴市境内
普陀山风景区,浙江·舟山·普陀区,自然风光,5A景区,热度 1.0,浙江省舟山市普陀区
剑门关,四川·广元·剑阁县,自然风光,5A景区,热度 1.0,四川省广元市剑阁县河东街64号
牛首山文化旅游区,江苏·南京·江宁区,自然风光,4A景区,热度 0.0,江苏省南京市江宁区宁丹大道18号
康定情歌木格措风景区,四川·甘孜州·康定市,自然风光,4A景区,热度 0.0,四川省甘孜州康定县雅拉乡王母村
沙坡头旅游区,宁夏·中卫·沙坡头区,自然风光,5A景区,热度 1.0,宁夏回族自治区中卫市沙坡头区迎水桥镇
稻城亚丁,四川·甘孜州·稻城县,自然风光,4A景区,热度 1.0,四川省甘孜藏族自治州稻城县
泰山,山东·泰安·泰山区,自然风光,5A景区,热度 1.0,山东省泰安市泰山区红门路54号
壶口瀑布,陕西·延安·宜川县,自然风光,4A景区,热度 1.0,陕西省延安市宜川县壶口乡
海螺沟,四川·甘孜州·泸定县,自然风光,5A景区,热度 0.9,四川省甘孜藏族自治州泸定县木西镇共和村
天涯海角,海南·三亚·天涯区,自然风光,4A景区,热度 0.9,海南省三亚市沿海滨西行26公里天涯镇马岭山麓
乌镇西栅,浙江·嘉兴·乌镇,自然风光,,热度 0.0,浙江省嘉兴市桐乡市乌镇西大街
毕棚沟,四川·阿坝藏族羌族自治州·理县,自然风光,4A景区,热度 0.7,四川省阿坝州理县朴头乡朴头村88号
青城山,四川·成都·都江堰市,自然风光,5A景区,热度 0.96,四川省成都市都江堰市青城山路
虎丘,江苏·苏州·金阊区,自然风光,5A景区,热度 0.8,江苏省苏州市金阊区山塘街虎丘山门内8号
鸣沙山月牙泉,甘肃·酒泉·敦煌市,自然风光,5A景区,热度 0.86,甘肃省酒泉敦煌市
本溪水洞,辽宁·本溪·本溪县,自然风光,5A景区,热度 1.0,辽宁省本溪市本溪满族自治县谢家崴子村
鼓浪屿,福建·厦门·思明区,自然风光,5A景区,热度 0.9800000000000001,福建省厦门市思明区鼓浪屿
梵净山,贵州·铜仁·铜仁市,自然风光,5A景区,热度 1.0,中国贵州铜仁市江口县太平乡黑湾河梵净山景区
西岛,海南·三亚·天涯区,自然风光,4A景区,热度 0.78,海南省三亚市三亚湾西岛
灵山大佛,江苏·无锡·灵山胜境,自然风光,5A景区,热度 1.0,江苏省无锡市滨湖区灵山路1号
关门山国家森林公园,辽宁·本溪·本溪县,自然风光,4A景区,热度 0.86,辽宁省本溪市本溪县山城子镇本溪水洞南13公里
洞天仙境,广东·清远·峰林胜境,自然风光,,热度 0.0,广东省清远英德市九龙镇英西峰林景区内
南山竹海,江苏·常州·天目湖,自然风光,5A景区,热度 0.8800000000000001,江苏省常州溧阳市横涧镇李家园下场园10号
瘦西湖,江苏·扬州·邗江区,自然风光,5A景区,热度 1.0,江苏省扬州市维扬区长春路118号
景德镇古窑民俗博览区,江西·景德镇·昌江区,自然风光,5A景区,热度 0.0,江西省景德镇市昌江区瓷都大道古窑路1号
武功山,江西·萍乡·芦溪县,自然风光,5A景区,热度 1.0,江西省萍乡市芦溪县
老君山景区,河南·洛阳·栾川县,自然风光,5A景区,热度 0.72,河南省洛阳市栾川县城东
红山森林动物园,江苏·南京·玄武区,自然风光,,热度 0.0,江苏省南京市玄武区和燕路168号
黄果树瀑布,贵州·安顺·黄果树风景名胜区,自然风光,5A景区,热度 1.0,贵州省安顺镇宁布依族苗族自治县黄果树瀑布
东江湖,湖南·郴州·资兴市,自然风光,5A景区,热度 0.86,郴州市资兴市王家庄88号
西湖,浙江·杭州·西湖区,自然风光,5A景区,热度 1.0,浙江省杭州市西湖区龙井路1号
玉龙雪山,云南·丽江·玉龙县,自然风光,5A景区,热度 0.96,云南省丽江市玉龙纳西族自治县
莫干山,浙江·湖州·德清县,自然风光,4A景区,热度 0.82,浙江省湖州市德清县莫干山风景名胜区
云台山,河南·焦作·修武县,自然风光,5A景区,热度 1.0,河南省焦作市修武县修武正北30公里方庄（靠近233省道）
红海滩国家风景廊道,辽宁·盘锦·大洼县,自然风光,5A景区,热度 0.0,辽宁省盘锦市大洼区赵圈河镇红海滩国家风景廊道
桂林两江四湖景区,广西·桂林·秀峰区,自然风光,5A景区,热度 0.7,广西壮族自治区桂林市秀峰区滨江路12号
银子岩,广西·桂林·荔浦县,自然风光,4A景区,热度 0.78,广西壮族自治区桂林市荔浦县马岭镇小青山银子岩景区
鹿回头风景区,海南·三亚·吉阳区,自然风光,4A景区,热度 0.8,海南省三亚市西南端鹿回头半岛内
武隆天坑地缝国家地质公园,重庆·重庆·武隆县,自然风光,5A景区,热度 0.0,重庆市武隆县银杏大道武隆喀斯特旅游区
庐山风景名胜区,江西·九江·庐山市,自然风光,5A景区,热度 1.0,江西省九江市庐山区
黄龙风景区,四川·阿坝藏族羌族自治州·松潘县,自然风光,5A景区,热度 0.74,四川省阿坝藏族羌族自治州松潘县
钟山风景区,江苏·南京·玄武区,自然风光,4A景区,热度 0.76,江苏省南京市玄武区石象路7号
龙宫,贵州·安顺·镇宁县,自然风光,5A景区,热度 0.72,贵州省安顺市镇宁县龙宫镇
象山景区,广西·桂林·象山区,自然风光,5A景区,热度 0.7,广西壮族自治区桂林市民主路52号
三清山,江西·上饶·玉山县,自然风光,5A景区,热度 0.86,江西省上饶市玉山县
夫子庙,江苏·南京·秦淮区,自然风光,5A景区,热度 0.8800000000000001,江苏省南京市秦淮区龙蟠中路夫子庙
刘公岛,山东·威海·环翠区,自然风光,5A景区,热度 1.0,山东省威海市海滨北路101-2号
金塔沙漠胡杨林景区,甘肃·酒泉·金塔县,自然风光,,热度 0.0,甘肃省酒泉市金塔县城以西约6公里
增城白水寨风景名胜区,广东·广州·增城,自然风光,4A景区,热度 0.72,广东省广州市增城市派潭镇白水寨风景名胜区
鞍山千山,辽宁·鞍山·千山区,自然风光,5A景区,热度 0.9,辽宁省鞍山市千山区千山东路79号
响沙湾,内蒙古·鄂尔多斯·达拉特旗,自然风光,5A景区,热度 0.8400000000000001,内蒙古鄂尔多斯市达拉特旗响沙湾景区
额济纳胡杨林,内蒙古·阿拉善盟·额济纳旗,自然风光,,热度 0.0,内蒙古自治区阿拉善盟额济纳旗达来呼布镇西南28公里处
千岛湖,浙江·杭州·淳安县,自然风光,5A景区,热度 0.78,浙江省杭州市淳安县梦姑路
德天跨国瀑布,广西·崇左·大新县,自然风光,5A景区,热度 1.0,广西壮族自治区崇左市大新县硕龙镇陇宏村德天跨国瀑布景区
赤水丹霞旅游区·大瀑布,贵州·遵义·赤水游客中心,自然风光,4A景区,热度 0.74,贵州省遵义市赤水市两河口乡
瓦屋山,四川·眉山·洪雅县,自然风光,3A景区,热度 1.0,四川省眉山市洪雅县瓦屋山镇
鸽子窝公园,河北·秦皇岛·北戴河区,自然风光,4A景区,热度 0.78,河北省秦皇岛市北戴河区海滨东北角鸽赤路
天津盘山风景名胜区,天津·天津·蓟县,自然风光,5A景区,热度 0.8,天津市蓟县官庄镇北15公里处
辰山植物园,上海·上海·佘山国家旅游度假区,自然风光,,热度 0.0,上海市松江区辰花公路3888号
柯岩风景区,浙江·绍兴·绍兴县,自然风光,4A景区,热度 0.82,浙江省绍兴市绍兴县柯岩大道558号
鸡足山,云南·大理·大理市,自然风光,4A景区,热度 0.7,云南省大理州宾川县以西约30公里处
福建天柱山欢乐大世界,福建·漳州·长泰县,自然风光,,热度 0.0,福建省漳州市长泰县马洋溪锦溪路888号
九如山度假风景区,山东·济南·历城区,自然风光,4A景区,热度 0.7,山东省济南市南部山区西营街道
火山口国家地质公园,海南·海口·秀英区,自然风光,4A景区,热度 0.0,海南省海口市秀英区石山镇
镜泊湖风景区,黑龙江·牡丹江·宁安市,自然风光,5A景区,热度 0.9,黑龙江省牡丹江市宁安市火山口旅游公路
小七孔景区,贵州·黔南·荔波樟江,自然风光,,热度 0.7,贵州省黔南州荔波县
白石岭风景区,海南·琼海,自然风光,,热度 0.74,海南省琼海市加积镇白石岭风景区
武隆仙女山国家森林公园,重庆·重庆·武隆天坑地缝国家地质公园,自然风光,5A景区,热度 0.82,重庆市武隆县境乌江北岸双河乡
镇江金山,江苏·镇江·润州区,自然风光,5A景区,热度 0.0,江苏省镇江市润州区金山路62号
东钱湖,浙江·宁波·鄞州区,自然风光,3A景区,热度 0.8,浙江省宁波市鄞州区东钱湖镇
碧峰峡,四川·雅安·雨城区,自然风光,5A景区,热度 0.9,四川省雅安市雨城区下里乡碧峰镇
沙湖旅游区,宁夏·石嘴山·平罗县,自然风光,5A景区,热度 1.0,宁夏省石嘴山市平罗县境内西大滩（沙湖生态旅游区）
五指石,广东·梅州·平远县,自然风光,4A景区,热度 0.74,广东省梅州市平远县差干镇
通灵大峡谷,广西·百色·靖西县,自然风光,4A景区,热度 1.0,广西壮族自治区百色市靖西县湖润镇新灵村
缙云仙都,浙江·丽水·缙云县,自然风光,5A景区,热度 1.0,浙江省丽水市缙云县城东7公里处
千年瑶寨,广东·清远·连南瑶族,自然风光,,热度 0.0,广东省清远市连南瑶族自治县三排镇南岗村
明月山,江西·宜春·袁州区,自然风光,5A景区,热度 1.0,江西省宜春市袁州区温汤镇
古龙峡玻璃大峡谷,广东·清远·清新区,自然风光,4A景区,热度 0.0,广东省清远市清新区三坑滩
中国福州云顶,福建·福州·永泰县,自然风光,,热度 0.0,福建省福州市永泰县
沙家浜,江苏·苏州·常熟市,自然风光,5A景区,热度 0.72,江苏省苏州市常熟市阳澄湖畔
